Name,Province,Climate ID,Station ID,Latitude,Longitude,Elevation (m),First Year,Last Year,First Year (Hourly),Last Year (Hourly),First Year (Daily),Last Year (Daily),First Year (Monthly),Last Year (Monthly)
GOLDEN HORN,YUKON TERRITORY,2100615,1553,60.62,-134.82,701,1989,1994,-999,-999,1989,1994,1989,1994
HAECKEL HILL TOWER,YUKON TERRITORY,2100620,1554,60.75,-135.22,1432,1974,1976,-999,-999,1974,1976,1976,1976
HAINES APPS #4,YUKON TERRITORY,2100627,1555,60.82,-137.73,845,1969,1971,-999,-999,1969,1971,1970,1971
HAINES JUNCTION,YUKON TERRITORY,2100630,1556,60.77,-137.58,595,1944,2019,1960,2019,1944,2019,1944,2006
HAINES JUNCTION YTG,YUKON TERRITORY,2100631,1557,60.75,-137.51,596,1985,2008,-999,-999,1985,2008,1985,2007
HART RIVER,YUKON TERRITORY,2100632,1558,64.65,-136.78,914,1969,1969,-999,-999,1969,1969,1969,1969
HERSCHEL ISLAND,YUKON TERRITORY,2100635,1559,69.5,-139.25,4,1896,1918,-999,-999,1896,1918,1899,1905
HERSCHEL ISLAND,YUKON TERRITORY,2100636,1560,69.57,-138.91,1,1974,2019,1994,2019,1974,2019,1974,2007
HOWARDS PASS,YUKON TERRITORY,2100638,1561,62.47,-129.2,1563,1977,1978,-999,-999,1977,1978,1977,1978
HUDSON BAY MINE,YUKON TERRITORY,2100639,1562,63.18,-130.17,1493,1982,1983,-999,-999,1982,1983,1982,1983
IRON CREEK,YUKON TERRITORY,2100650,1563,60.02,-127.85,868,1958,1960,-999,-999,1958,1960,1958,1960
IVVAVIK NAT. PARK,YUKON TERRITORY,2100660,26869,69.16,-140.15,243,1995,2019,1995,2019,1995,2019,2004,2006
JOHNSONS CROSSING,YUKON TERRITORY,2100670,1564,60.48,-133.3,690,1963,1995,-999,-999,1963,1995,1963,1995
KENO HILL,YUKON TERRITORY,2100677,1565,63.93,-135.2,1472,1974,1982,-999,-999,1974,1982,1974,1982
KING POINT (AUT),YUKON TERRITORY,2100678,8994,69.08,-138.02,61,1985,1986,1985,1986,-999,-999,-999,-999
KLONDIKE,YUKON TERRITORY,2100679,1566,64.45,-138.22,972,1966,2010,-999,-999,1966,2010,1966,2007
KLUANE LAKE,YUKON TERRITORY,2100680,1567,61.02,-138.4,786,1946,1983,-999,-999,1946,1983,1970,1983
KOMAKUK BEACH,YUKON TERRITORY,2100682,10822,69.61,-140.2,13,1994,2018,1994,2018,1994,2018,-999,-999
KOMAKUK BEACH A,YUKON TERRITORY,2100685,1568,69.58,-140.18,7,1958,1993,1973,1993,1958,1993,1958,1993
LITTLE GOLD CREEK,YUKON TERRITORY,2100690,1569,64.08,-141.0,1257,1974,1999,-999,-999,1974,1999,1974,1999
MACMILLAN PASS,YUKON TERRITORY,2100693,27339,63.24,-130.04,1379,1998,2019,1998,2019,1998,2019,1998,2007
MACMILLAN PASS,YUKON TERRITORY,2100695,1570,63.17,-130.2,1408,1970,1971,-999,-999,1970,1971,1970,1971
MACTUNG,YUKON TERRITORY,2100696,1571,63.28,-130.18,1889,1972,1973,-999,-999,1972,1973,1972,1973
MARGARET LAKE,YUKON TERRITORY,2100697,27296,68.8,-140.85,568,1997,2019,1997,2019,1997,2019,2004,2006
MARSH LAKE,YUKON TERRITORY,2100698,26998,60.43,-134.25,655,1994,2002,-999,-999,1994,2002,1994,2002
MACPASS AIRSTRIP,YUKON TERRITORY,21006RN,1550,63.18,-130.18,1219,1981,1983,-999,-999,1981,1983,1982,1983
MAYO A,YUKON TERRITORY,2100700,1572,63.62,-135.87,503,1924,2013,1953,2013,1924,2013,1925,2013
MAYO A,YUKON TERRITORY,2100701,51426,63.62,-135.87,503,2013,2019,2013,2019,2013,2019,-999,-999
MAYO A,YUKON TERRITORY,2100702,54178,63.62,-135.87,503,2016,2019,2016,2019,2018,2019,-999,-999
MAYO ROAD,YUKON TERRITORY,2100709,1573,60.88,-135.18,655,1983,2017,-999,-999,1983,2017,1983,2007
MCQUESTEN,YUKON TERRITORY,2100719,1574,63.59,-137.52,458,1986,2014,-999,-999,1986,2014,1986,2007
MCQUESTEN,YUKON TERRITORY,2100720,1575,63.55,-137.4,426,1968,1968,-999,-999,1968,1968,1968,1968
MINTO,YUKON TERRITORY,2100744,1576,62.63,-137.25,914,1974,1974,-999,-999,1974,1974,1974,1974
MOOSE CREEK,YUKON TERRITORY,2100746,1577,63.52,-137.02,460,1972,1975,-999,-999,1972,1975,1973,1975
MORLEY RIVER,YUKON TERRITORY,2100750,1578,60.02,-132.17,823,1984,1989,-999,-999,1984,1989,1984,1989
MOUNTAIN VIEW LODGE,YUKON TERRITORY,2100755,1579,61.63,-139.67,845,1974,1977,-999,-999,1974,1977,1974,1977
NEW IMPERIAL,YUKON TERRITORY,2100765,1580,60.63,-135.08,800,1968,1969,-999,-999,1968,1969,1968,1969
OGILVIE RIVER,YUKON TERRITORY,2100794,1581,65.36,-138.31,597,1971,2008,-999,-999,1971,2008,1971,2007
OLD CROW A,YUKON TERRITORY,2100800,1582,67.57,-139.84,250,1951,2015,1975,2013,1951,2015,1951,2007
OLD CROW A,YUKON TERRITORY,2100801,51437,67.57,-139.84,250,2013,2019,2013,2019,-999,-999,-999,-999
OLD CROW RCS,YUKON TERRITORY,2100805,26894,67.57,-139.84,251,1994,2019,1994,2019,1995,2019,2006,2007
OLD CROW A,YUKON TERRITORY,2100807,53023,67.57,-139.84,250,2014,2019,2014,2019,2018,2019,-999,-999
OTTER FALLS NCPC,YUKON TERRITORY,2100840,1583,61.03,-137.05,829,1980,2019,-999,-999,1980,2019,1980,2007
PAINT MOUNTAIN TOWER,YUKON TERRITORY,2100850,1584,60.83,-137.5,1386,1976,1976,-999,-999,1976,1976,1976,1976
PARKIN,YUKON TERRITORY,2100860,1585,66.23,-137.28,533,1971,1973,-999,-999,1971,1973,1971,1973
PELLY RANCH,YUKON TERRITORY,2100880,1586,62.83,-137.31,445,1898,2017,-999,-999,1898,2017,1951,2007
PORTER CREEK WAHL,YUKON TERRITORY,2100907,1587,60.77,-135.12,713,1989,2005,-999,-999,1989,2005,1989,2005
QUIET LAKE,YUKON TERRITORY,2100910,1588,61.15,-133.07,820,1966,1992,-999,-999,1966,1992,1966,1992
QUILL CREEK,YUKON TERRITORY,2100914,1589,61.45,-139.25,831,1983,1985,-999,-999,1983,1985,1983,1985
RAMPART HOUSE,YUKON TERRITORY,2100920,1590,0.0,0.0,0,1918,1919,-999,-999,1918,1919,-999,-999
RANCHERIA,YUKON TERRITORY,2100932,1591,60.08,-130.6,865,1980,1981,-999,-999,1980,1981,1980,1981
ROCK RIVER,YUKON TERRITORY,2100935,8979,66.98,-136.22,731,1994,2019,1994,2019,1995,2019,-999,-999
ROSS RIVER A,YUKON TERRITORY,2100940,1592,61.97,-132.43,705,1961,1994,1987,1994,1961,1994,1964,1994
ROSS RIVER YTG,YUKON TERRITORY,2100941,6849,61.98,-132.45,698,1993,2008,-999,-999,1993,2008,1993,2007
RUSSELL CREEK,YUKON TERRITORY,2100942,1593,63.03,-133.38,686,1989,1993,-999,-999,1989,1993,1989,1993
SAM LAKE,YUKON TERRITORY,2100945,1594,68.42,-138.62,457,1974,1974,-999,-999,1974,1974,1974,1974
SATAH RIVER,YUKON TERRITORY,2100946,26867,66.87,-134.2,86,1995,2001,1995,2001,1995,2001,-999,-999
SHELDON LAKE,YUKON TERRITORY,2100948,1595,62.62,-131.28,883,1970,1992,-999,-999,1970,1992,1970,1992
SHINGLE POINT A,YUKON TERRITORY,2100950,1596,68.95,-137.22,49,1957,2019,1973,2019,1957,2019,1957,1993
SIMPSON TOWER,YUKON TERRITORY,2100960,1597,61.4,-129.47,1676,1976,1976,-999,-999,1976,1976,-999,-999
HOUR LAKE,YUKON TERRITORY,2100FCG,1511,61.18,-129.13,890,1982,2017,-999,-999,1982,2017,1982,2007
KETZA RIVER MINE,YUKON TERRITORY,2100FPP,1512,61.52,-132.27,1380,1985,1995,-999,-999,1985,1995,1986,1995
MACPHERSON,YUKON TERRITORY,2100FRN,1513,60.82,-135.22,686,1984,1988,-999,-999,1984,1988,1984,1988
DAWSON,YUKON TERRITORY,2100LRP,10194,64.06,-139.13,370,1995,2019,1995,2019,1995,2019,1999,2007
MIDWAY LODGE,YUKON TERRITORY,2100PLF,1514,62.53,-136.75,610,1987,1988,-999,-999,1987,1988,1987,1988
SNAG A,YUKON TERRITORY,2101000,1598,62.37,-140.4,586,1943,1966,1953,1966,1943,1966,1943,1966
STEWART CROSSING,YUKON TERRITORY,2101030,1599,63.38,-136.68,480,1963,2008,-999,-999,1963,2008,1963,2007
STEWART CROSSING TOWER,YUKON TERRITORY,2101031,1600,63.42,-136.68,1249,1976,1976,-999,-999,1976,1976,-999,-999
STEWART RIVER,YUKON TERRITORY,2101033,1601,63.32,-139.43,358,1976,1993,-999,-999,1976,1993,1976,1993
STOKES POINT,YUKON TERRITORY,2101050,1602,69.35,-138.77,34,1959,1993,1992,1993,1959,1993,1959,1963
SUNNYDALE,YUKON TERRITORY,2101062,1603,64.05,-139.47,335,1984,1986,-999,-999,1984,1986,1984,1986
SWEDE CREEK,YUKON TERRITORY,2101070,1604,64.1,-139.75,320,1918,1929,-999,-999,1918,1929,1918,1929
SWIFT RIVER,YUKON TERRITORY,2101081,1605,60.0,-131.18,891,1966,2008,-999,-999,1966,2008,1966,2007
TAGISH,YUKON TERRITORY,2101089,1606,60.3,-134.27,658,1979,1984,-999,-999,1979,1984,1979,1984
TAGISH TOWER,YUKON TERRITORY,2101093,1607,60.27,-134.18,1219,1976,1976,-999,-999,1976,1976,1976,1976
TAKHINI RIVER RANCH,YUKON TERRITORY,2101095,1608,60.95,-135.57,671,1980,2019,-999,-999,1980,2019,1980,2007
TESLIN,YUKON TERRITORY,2101099,1609,60.17,-132.75,705,1980,1984,-999,-999,1980,1984,1980,1984
TESLIN A,YUKON TERRITORY,2101100,1610,60.17,-132.74,705,1943,2014,1953,2014,1943,2014,1943,2006
TESLIN A,YUKON TERRITORY,2101101,52321,60.17,-132.74,705,2014,2019,2014,2019,-999,-999,-999,-999
TESLIN (AUT),YUKON TERRITORY,2101102,8985,60.17,-132.73,705,1992,2019,1994,2019,1992,2019,2001,2007
TESLIN A,YUKON TERRITORY,2101106,53027,60.17,-132.74,705,2014,2019,2014,2019,2018,2019,-999,-999
TOM CREEK TOWER,YUKON TERRITORY,2101125,1611,60.28,-128.98,944,1974,1976,-999,-999,1974,1976,1976,1976
TRANSPORT TOWER,YUKON TERRITORY,2101130,1612,60.17,-130.0,1432,1974,1976,-999,-999,1974,1976,1976,1976
TUCHITUA,YUKON TERRITORY,2101135,1613,60.93,-129.22,723,1967,2014,-999,-999,1967,2014,1967,2007
TWO PETE CREEK,YUKON TERRITORY,2101138,1614,62.63,-133.7,960,1979,1984,-999,-999,1979,1984,1979,1984
WATSON LAKE A,YUKON TERRITORY,2101200,1615,60.12,-128.82,687,1938,2014,1953,2014,1938,2014,1938,2014
WATSON LAKE A,YUKON TERRITORY,2101201,53339,60.12,-128.82,687,2014,2019,2014,2019,2018,2019,-999,-999
WATSON LAKE A,YUKON TERRITORY,2101202,54198,60.12,-128.82,687,2016,2019,2016,2019,2018,2019,-999,-999
WATSON LAKE (AUT),YUKON TERRITORY,2101204,32293,60.12,-128.83,683,2002,2019,2005,2019,2002,2019,-999,-999
WATSON LAKE YTG,YUKON TERRITORY,2101222,10983,60.07,-128.72,701,1994,1995,-999,-999,1994,1995,1994,1995
WHITEHORSE,YUKON TERRITORY,2101290,1616,60.72,-135.05,636,1900,1960,-999,-999,1900,1960,1904,1942
WHITEHORSE A,YUKON TERRITORY,2101300,1617,60.71,-135.07,706,1942,2012,1953,2012,1942,2012,1942,2007
WHITEHORSE A,YUKON TERRITORY,2101303,50842,60.71,-135.07,706,2012,2019,2012,2019,2012,2019,-999,-999
WHITEHORSE AUTO,YUKON TERRITORY,2101310,48168,60.73,-135.1,707,2009,2019,2009,2019,2009,2019,-999,-999
WHITEHORSE RIVERDALE,YUKON TERRITORY,2101400,1618,60.71,-135.03,640,1959,2012,-999,-999,1959,2012,1972,2007
WHITEHORSE WSO,YUKON TERRITORY,2101415,26988,60.73,-135.08,706,1996,1998,-999,-999,1996,1998,1996,1998
WOLF CREEK,YUKON TERRITORY,2101600,1619,60.58,-134.95,746,1969,1974,-999,-999,1969,1974,1969,1973
WOLF CREEK,YUKON TERRITORY,2101601,1620,60.5,-134.95,762,1985,1989,-999,-999,1985,1989,1985,1989
AKLAVIK A,NORTHWEST TERRITORIES,2200100,1623,68.22,-135.01,6,1926,2014,1953,2014,1926,2014,1926,2007
AKLAVIK A,NORTHWEST TERRITORIES,2200101,51397,68.22,-135.01,6,2014,2019,2014,2019,-999,-999,-999,-999
AKLAVIK A,NORTHWEST TERRITORIES,2200105,52962,68.22,-135.01,6,2014,2019,2014,2019,2018,2019,-999,-999
AKLAVIK RADIOSONDE,NORTHWEST TERRITORIES,2200200,1624,68.23,-135.0,9,1953,1960,-999,-999,1953,1960,1953,1960
ANGUS TOWER,NORTHWEST TERRITORIES,2200310,1625,60.35,-114.28,246,1968,1990,-999,-999,1968,1990,1968,1990
ARCTIC RED RIVER,NORTHWEST TERRITORIES,2200412,1626,67.45,-133.73,30,1974,1975,-999,-999,1974,1975,1974,1975
ATKINSON POINT,NORTHWEST TERRITORIES,2200430,1627,69.93,-131.4,3,1959,1963,-999,-999,1959,1963,1959,1963
BEAR TOWER,NORTHWEST TERRITORIES,2200554,1629,60.52,-113.23,213,1989,1990,-999,-999,1989,1990,1989,1990
CADILLAC MINE,NORTHWEST TERRITORIES,2200597,1631,61.53,-124.75,868,1970,1982,-999,-999,1970,1982,1970,1982
CAMERON HILLS,NORTHWEST TERRITORIES,2200606,1632,60.3,-117.05,841,1974,1975,-999,-999,1974,1974,1975,1975
CAMSELL RIVER (AUT),NORTHWEST TERRITORIES,2200617,8932,65.62,-118.12,230,1983,1990,1983,1990,-999,-999,-999,-999
CAPE BATHURST,NORTHWEST TERRITORIES,2200627,10075,70.55,-127.95,17,1986,1989,1986,1989,-999,-999,-999,-999
CAPE PARRY A,NORTHWEST TERRITORIES,2200675,1633,70.17,-124.72,86,1956,2019,1956,2019,1957,2019,1957,2007
CLIFTON POINT,NORTHWEST TERRITORIES,2200730,1636,69.2,-118.63,32,1959,1963,-999,-999,1959,1963,1959,1963
CLUT LAKE (AUT),NORTHWEST TERRITORIES,2200777,10896,65.6,-117.77,185,1994,2010,1994,2005,1994,2010,1998,2000
COLOMAC MINE,NORTHWEST TERRITORIES,2200822,1638,64.42,-115.1,327,1989,1991,-999,-999,1989,1991,1989,1991
COLVILLE LAKE,NORTHWEST TERRITORIES,2200824,10867,67.02,-126.12,271,1994,2019,1994,2019,1995,2019,2004,2006
COLVILLE LAKE A,NORTHWEST TERRITORIES,2200827,52899,67.02,-126.13,274,2014,2019,2014,2019,2018,2019,-999,-999
DELINE A,NORTHWEST TERRITORIES,2201020,52778,65.21,-123.44,214,2014,2019,2014,2019,-999,-999,-999,-999
DELINE CS,NORTHWEST TERRITORIES,2201022,27749,65.21,-123.43,212,1999,2019,1999,2019,1999,2019,1999,2007
DELINE A,NORTHWEST TERRITORIES,2201023,52964,65.21,-123.44,214,2014,2019,2014,2019,2018,2019,-999,-999
DEADMEN VALLEY,NORTHWEST TERRITORIES,22010H0,31187,61.26,-124.47,283,2001,2019,2001,2019,2001,2019,2001,2007
DELINE A,NORTHWEST TERRITORIES,22010KA,6850,65.21,-123.44,214,1991,2014,1991,2014,1991,2014,1991,2007
FLAT RIVER,NORTHWEST TERRITORIES,2201345,1642,61.97,-128.2,1115,1960,1960,-999,-999,1960,1960,1960,1960
FORT FRANKLIN,NORTHWEST TERRITORIES,2201380,1643,65.18,-123.43,159,1974,1975,-999,-999,1974,1975,1974,1975
FORT GOOD HOPE A,NORTHWEST TERRITORIES,2201400,1644,66.24,-128.65,81,1944,2015,1965,2015,1944,2015,1944,2007
FORT GOOD HOPE A,NORTHWEST TERRITORIES,2201401,52602,66.24,-128.65,81,2015,2019,2015,2019,-999,-999,-999,-999
FORT GOOD HOPE A,NORTHWEST TERRITORIES,2201406,53580,66.24,-128.65,81,2015,2019,2015,2019,2018,2019,-999,-999
FORT GOOD HOPE CS,NORTHWEST TERRITORIES,2201450,27549,66.24,-128.64,81,1998,2019,1998,2019,1998,2019,1998,2007
FORT GOOD HOPE 2,NORTHWEST TERRITORIES,2201500,1645,66.25,-128.63,41,1897,1966,-999,-999,1897,1966,1897,1966
FORT LIARD A,NORTHWEST TERRITORIES,2201575,1646,60.24,-123.47,215,1973,2014,1973,2014,1973,2014,1973,2007
FORT LIARD A,NORTHWEST TERRITORIES,2201576,52779,60.24,-123.47,215,2014,2019,2014,2019,-999,-999,-999,-999
FORT LIARD,NORTHWEST TERRITORIES,2201579,10687,60.23,-123.47,213,1994,2019,1994,2019,1996,2019,1996,2007
FORT LIARD A,NORTHWEST TERRITORIES,2201581,52965,60.24,-123.47,215,2014,2019,2014,2019,2018,2019,-999,-999
FORT MCPHERSON A,NORTHWEST TERRITORIES,2201599,51882,67.41,-134.86,35,2014,2019,2014,2019,-999,-999,-999,-999
FORT MCPHERSON,NORTHWEST TERRITORIES,2201600,1647,67.43,-134.88,30,1892,1977,-999,-999,1892,1977,1892,1977
FORT MCPHERSON A,NORTHWEST TERRITORIES,2201601,1648,67.41,-134.86,35,1981,2014,1988,2014,1981,2014,1981,2007
FORT MCPHERSON NWLFS,NORTHWEST TERRITORIES,2201602,1649,69.45,-134.83,30,1974,1975,-999,-999,1974,1975,1974,1974
FORT MCPHERSON A,NORTHWEST TERRITORIES,2201606,52963,67.41,-134.86,35,2014,2019,2014,2019,2018,2019,-999,-999
TULITA A,NORTHWEST TERRITORIES,2201700,1650,64.91,-125.57,100,1903,2014,1987,2014,1903,2014,1903,2007
TULITA A,NORTHWEST TERRITORIES,2201701,52798,64.91,-125.57,100,2014,2019,2014,2019,-999,-999,-999,-999
TULITA A,NORTHWEST TERRITORIES,2201705,52967,64.91,-125.57,100,2014,2019,2014,2019,2018,2019,-999,-999
FORT PROVIDENCE,NORTHWEST TERRITORIES,2201799,10902,61.32,-117.6,161,1994,2019,1994,2019,1994,2019,2006,2007
FORT PROVIDENCE,NORTHWEST TERRITORIES,2201800,1651,61.33,-117.67,159,1943,1982,1953,1979,1943,1982,1943,1982
FORT RELIANCE,NORTHWEST TERRITORIES,2201900,1652,62.72,-109.17,165,1948,1992,1953,1991,1948,1992,1948,1991
FORT RELIANCE (AUT),NORTHWEST TERRITORIES,2201903,8935,62.71,-109.17,167,1994,2019,1994,2019,1994,2019,1996,2007
FORT RESOLUTION,NORTHWEST TERRITORIES,2201998,1653,61.17,-113.67,158,1911,1936,-999,-999,1911,1936,1911,1936
FORT RESOLUTION A,NORTHWEST TERRITORIES,2202000,1654,61.18,-113.69,160,1930,2014,1954,2014,1930,2014,1930,2007
FORT RESOLUTION A,NORTHWEST TERRITORIES,2202001,53324,61.18,-113.69,160,2014,2019,2014,2019,-999,-999,-999,-999
FORT RESOLUTION A,NORTHWEST TERRITORIES,2202010,53322,61.18,-113.69,160,2014,2019,2014,2019,2018,2019,-999,-999
FORT SIMPSON,NORTHWEST TERRITORIES,2202100,1655,61.87,-121.35,131,1895,1963,1953,1963,1895,1963,1895,1963
FORT SIMPSON A,NORTHWEST TERRITORIES,2202101,1656,61.76,-121.24,169,1963,2014,1963,2014,1963,2014,1963,2010
FORT SIMPSON CLIMATE,NORTHWEST TERRITORIES,2202102,41944,61.76,-121.24,168,2003,2019,2003,2019,2003,2019,2003,2007
FORT SIMPSON A,NORTHWEST TERRITORIES,2202103,52780,61.76,-121.24,169,2014,2019,2014,2019,2014,2019,-999,-999
FORT SIMPSON A,NORTHWEST TERRITORIES,2202104,54159,61.76,-121.24,169,2016,2019,2016,2019,2018,2019,-999,-999
FORT SIMPSON CDA,NORTHWEST TERRITORIES,2202110,1657,61.87,-121.35,131,1961,1969,-999,-999,1961,1969,1961,1969
FORT SIMPSON,NORTHWEST TERRITORIES,2202115,27609,61.76,-121.24,169,1998,2010,1998,2000,1998,2010,1998,2000
FORT SMITH,NORTHWEST TERRITORIES,2202196,1658,60.0,-111.93,182,1913,1929,-999,-999,1913,1929,1913,1929
FORT SMITH,NORTHWEST TERRITORIES,2202198,1659,60.0,-111.87,207,1928,1946,-999,-999,1928,1946,1928,1946
FORT SMITH A,NORTHWEST TERRITORIES,2202200,1660,60.02,-111.96,205,1943,2014,1953,2014,1943,2014,1943,2014
FORT SMITH A,NORTHWEST TERRITORIES,2202201,53119,60.02,-111.96,205,2014,2019,2014,2019,2014,2019,-999,-999
FORT SMITH CLIMATE,NORTHWEST TERRITORIES,2202202,41884,60.03,-111.93,203,2003,2019,2003,2019,2003,2019,2003,2007
FORT SMITH A,NORTHWEST TERRITORIES,2202203,54218,60.02,-111.96,205,2016,2019,2016,2019,2018,2019,-999,-999
FRANK CHANNEL,NORTHWEST TERRITORIES,2202250,1661,62.78,-115.95,160,1974,1975,-999,-999,1974,1975,1974,1975
HALDANE RIVER,NORTHWEST TERRITORIES,2202349,26868,67.07,-121.1,242,1995,1999,1995,1999,1995,1999,1998,1998
HANBURY RIVER,NORTHWEST TERRITORIES,2202351,10897,63.6,-105.13,317,1994,2019,1994,2019,1994,2019,1998,2007
HART LAKE,NORTHWEST TERRITORIES,2202360,1662,60.85,-116.63,252,1974,1975,-999,-999,1974,1974,1975,1975
HAY RIVER,NORTHWEST TERRITORIES,2202398,1663,60.85,-115.95,161,1893,1943,-999,-999,1893,1943,1894,1943
HAY RIVER A,NORTHWEST TERRITORIES,2202400,1664,60.84,-115.78,164,1943,2014,1953,2014,1943,2014,1943,2014
HAY RIVER A,NORTHWEST TERRITORIES,2202401,52600,60.84,-115.78,164,2014,2019,2014,2019,2014,2019,-999,-999
HAY RIVER CLIMATE,NORTHWEST TERRITORIES,2202402,41885,60.84,-115.78,164,2003,2019,2003,2019,2003,2019,2003,2007
HAY RIVER A,NORTHWEST TERRITORIES,2202403,54140,60.84,-115.78,164,2016,2019,2016,2019,2018,2019,-999,-999
HAY RIVER PARADISE GDNS,NORTHWEST TERRITORIES,2202405,1665,60.65,-116.0,213,1962,2006,-999,-999,1962,2006,1962,2006
HORN PLATEAU,NORTHWEST TERRITORIES,2202516,1666,62.13,-118.12,746,1974,1975,-999,-999,1974,1974,1975,1975
HORN RIVER,NORTHWEST TERRITORIES,2202518,1667,61.5,-118.03,152,1973,1975,-999,-999,1973,1975,1973,1975
HORTON RIVER,NORTHWEST TERRITORIES,2202520,1668,70.03,-126.96,164,1959,1963,-999,-999,1959,1963,1959,1963
INDIN RIVER,NORTHWEST TERRITORIES,2202552,10757,64.39,-115.02,304,1994,2004,1994,2004,1994,2002,1996,2002
INNER WHALEBACKS,NORTHWEST TERRITORIES,2202560,10209,61.92,-113.73,165,1994,2019,1994,2019,1994,2019,1998,2007
INUVIK CR10,NORTHWEST TERRITORIES,2202569,27222,68.3,-133.48,68,1999,1999,-999,-999,1999,1999,1999,1999
INUVIK A,NORTHWEST TERRITORIES,2202570,1669,68.3,-133.48,67,1957,2013,1958,2013,1957,2006,1957,2006
INUVIK A,NORTHWEST TERRITORIES,2202571,51477,68.3,-133.48,67,2013,2019,2013,2019,2018,2019,-999,-999
INUVIK AWOS A,NORTHWEST TERRITORIES,2202575,31470,68.3,-133.48,67,2006,2013,2008,2013,2006,2013,2006,2007
INUVIK CLIMATE,NORTHWEST TERRITORIES,2202578,41883,68.32,-133.52,103,2003,2019,2003,2019,2003,2019,2003,2007
INUVIK CDA,NORTHWEST TERRITORIES,2202580,1670,68.3,-133.48,67,1961,1961,-999,-999,1961,1961,1961,1961
INUVIK UA,NORTHWEST TERRITORIES,2202582,8938,68.32,-133.52,103,1995,2007,-999,-999,1995,2007,1995,2007
JEAN MARIE,NORTHWEST TERRITORIES,2202640,27794,61.35,-120.78,227,1999,2000,1999,2000,1999,2000,-999,-999
KEATS POINT,NORTHWEST TERRITORIES,2202663,10825,69.67,-121.67,330,1998,2018,1998,2018,2001,2007,2006,2006
LAC LA MARTRE,NORTHWEST TERRITORIES,2202678,1674,63.13,-117.24,271,1974,2019,1994,2019,1974,2019,1974,2007
LIARD TOWER,NORTHWEST TERRITORIES,2202683,1676,60.3,-123.52,827,1974,1975,-999,-999,1974,1975,1974,1975
LUTSELK'E A,NORTHWEST TERRITORIES,2202687,53510,62.42,-110.68,178,2015,2019,2015,2019,-999,-999,-999,-999
LUTSELK'E A,NORTHWEST TERRITORIES,2202690,53508,62.42,-110.68,178,2015,2019,2015,2019,2018,2019,-999,-999
LYNX LAKE,NORTHWEST TERRITORIES,22026Q5,1672,62.47,-106.88,1183,1990,1993,-999,-999,1990,1993,1990,1993
NAHANNI BUTTE,NORTHWEST TERRITORIES,2202723,1677,61.08,-123.38,1371,1974,1976,-999,-999,1974,1976,1974,1976
NAHANNI VALLEY,NORTHWEST TERRITORIES,2202727,1678,61.05,-123.37,213,1974,1988,-999,-999,1974,1988,1974,1988
NICHOLSON PENINSULA,NORTHWEST TERRITORIES,2202750,1679,69.93,-128.97,88,1957,2010,1973,1993,1957,2010,1957,1993
NICHOLSON PENINSULA 1,NORTHWEST TERRITORIES,2202754,10846,69.92,-128.97,90,1992,1993,1992,1993,1992,1993,-999,-999
NORMAN WELLS A,NORTHWEST TERRITORIES,2202800,1680,65.28,-126.8,72,1943,2012,1953,2012,1943,2012,1943,2012
NORMAN WELLS A,NORTHWEST TERRITORIES,2202801,50717,65.28,-126.8,72,2012,2019,2012,2019,2012,2019,-999,-999
NORMAN WELLS SITE 1,NORTHWEST TERRITORIES,2202805,1681,65.28,-126.83,57,1960,1960,-999,-999,-999,-999,1960,1960
NORMAN WELLS SITE 2,NORTHWEST TERRITORIES,2202806,1682,65.28,-126.83,63,1960,1960,-999,-999,-999,-999,1960,1960
NORMAN WELLS SITE 3,NORTHWEST TERRITORIES,2202807,1683,65.27,-126.7,61,1960,1960,-999,-999,-999,-999,1960,1960
NORMAN WELLS SITE 4,NORTHWEST TERRITORIES,2202808,1684,65.27,-126.7,61,1960,1960,-999,-999,-999,-999,1960,1960
NORMAN WELLS CLIMATE,NORTHWEST TERRITORIES,2202810,43004,65.29,-126.75,93,2003,2019,2003,2019,2004,2019,2005,2007
PAULATUK A,NORTHWEST TERRITORIES,2203055,53420,69.36,-124.08,4,2015,2019,2015,2019,2018,2019,-999,-999
PAULATUK A,NORTHWEST TERRITORIES,2203056,53418,69.36,-124.08,4,2015,2019,2015,2019,-999,-999,-999,-999
PAULATUK A,NORTHWEST TERRITORIES,2203057,1685,69.36,-124.08,4,1985,2015,1987,2015,1985,2014,1985,2007
PAULATUK,NORTHWEST TERRITORIES,2203058,26986,69.36,-124.08,6,1994,2019,1994,2019,1994,2019,2000,2007
PEARCE POINT,NORTHWEST TERRITORIES,2203080,1686,69.82,-122.7,48,1959,1963,-999,-999,1959,1963,1959,1963
PELLY ISLAND,NORTHWEST TERRITORIES,2203095,10091,69.63,-135.44,17,1993,2019,1994,2019,1993,2019,2006,2006
PINE POINT,NORTHWEST TERRITORIES,2203100,1687,60.83,-114.47,237,1953,1965,-999,-999,1953,1965,1953,1965
PINE POINT,NORTHWEST TERRITORIES,2203101,1688,60.87,-114.37,224,1975,1988,-999,-999,1975,1988,1975,1988
PORTER LAKE,NORTHWEST TERRITORIES,2203283,1689,61.7,-108.0,364,1975,1975,-999,-999,1975,1975,1975,1975
PORT RADIUM,NORTHWEST TERRITORIES,2203300,1690,66.08,-118.03,191,1937,1974,1953,1974,1937,1974,1937,1974
